id	name	Anthozoa	Cnidaria_other	Polychaeta	Clitellata	Annelida_other	Polyplacophora	Bivalvia	Gastropoda	Cephalopoda	Mollusca_other	Brachiopoda	Ostracoda	Maxillopoda	Malacostraca	Insecta	Arthropoda_other	Ophiuroidea	Echinoidea	Holothuroidea	Echinodermata_other	Actinopterygii	Chondrichthyes	Amphibia	Reptilia	Aves	Mammalia	Chordata_other	Animalia_other	Plantae	Categories_total	Categories_matched
126	Scomberomorus maculatus	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	29	13
127	Apogonichthyoides taeniatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29	1
129	Scomberomorus munroi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	4
130	Argyropelecus aculeatus	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	14
131	Scomberomorus niphonius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	29	3
133	Scomberomorus queenslandicus	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	6
134	Scomberomorus regalis	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	8
135	Scomberomorus semifasciatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	29	3
136	Scomberomorus sierra	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	7
138	Somniosus microcephalus	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	29	19
139	Squalus acanthias	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	29	23
140	Rhinobatos percellens	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	6
141	Scomberomorus tritor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	29	3
142	Thunnus alalunga	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	9
143	Thunnus albacares	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	29	15
145	Thunnus maccoyii	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	7
146	Thunnus obesus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	29	4
147	Thunnus thynnus	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	29	13
148	Thunnus tonggol	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	5
152	Lutjanus guttatus	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	29	11
154	Lutjanus jocu	0	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	29	13
158	Lutjanus lunulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	4
