	Nephtys caeca	ITIS:66011	Nephtys
	mussel	OTT:2854330	Musculus
	Squilla	IRMNG:1321715	Squilla
	Triceratium	WORMS:149154	Triceratium
	Sphaerium sp.	WORMS:181560	Sphaerium
	dipteran pupae	NCBI:1187347	Diptera
	small sharks	OTT:4809423	Small
	Brachycera	ITIS:118831	Diptera
	Other Hymenoptera	NCBI:1187550	Hymenoptera
	Diptera 2	NCBI:1187373	Diptera
	dipteran	NCBI:1187334	Diptera
	Pleuronectiformes	EOL:5173	Pleuronectidae
	Ctenophora	ITIS:118845	Ctenophora
	Leptocephalus	IRMNG:1464129	Leptocephalus
	dipteran nymphs	NCBI:1187325	Diptera
	Jaera	GBIF:1921926	Jaera
	Aplysina sp.	OTT:619376	Aplysina
	Haploops sp.	GBIF:2219536	Haploops
	Mullet	GBIF:2400837	Liza dumerili
	small crabs	NCBI:406879	Small
	small crabs	NCBI:415362	Small
	Diptera	NCBI:1187319	Diptera
	Diptera	NCBI:1187361	Diptera
	Acanthostracion quadricornis	IRMNG:11409016	Acanthostracion quadricornis
EOL:421	Diptera	NCBI:1187342	Diptera
	Anthozoa	WD:Q27685078	Anthozoa
	BRACHYCERA SPP	NCBI:1187409	Diptera
	Astyanax sp.	OTT:5925072	Astyanax
	diatoms	OTT:5574832	Khakista
	Palicus sp. (juv)	GBIF:3265231	Palicus
	Heteroteuthis sp.	WORMS:138478	Heteroteuthis
	diptera adults	NCBI:1187322	Diptera
	diptera adults	NCBI:1187369	Diptera
	clariid catfishes	IRMNG:114518	Clariidae
	damselfly	IRMNG:1395611	Zygoptera
	BUCCINIDAE	GBIF:2696	Buccinidae
	whiting	WD:Q273083	Merlangius merlangus
	Nereis sp.	WORMS:129379	Nereis
	Diptera adult	NCBI:1187393	Diptera
	Tunicata	WD:Q165118	Tunicata
	Eusarsiella spp.	IRMNG:1468550	Eusarsiella
	OIKOPLEURA SPP	GBIF:7946816	Appendicularia
	Homoptera	OTT:4219927	Hemiptera
	chitinous remains	NCBI:891952	Chironomidae
	Terrestrial Insecta	OTT:5246630	Terrestrial
	terrestrial flies	NCBI:1187336	Diptera
	Cheumatopsyche	ITIS:598725	Cheumatopsyche
	decapod fragments	IRMNG:12425	Teuthoidea
	Halophila	EOL:11330055	Halophila
	Mugil cephalus	NCBI:48193	Mugil cephalus
	Pectinaria gouldi	IRMNG:1351575	Pectinaria
	gonodactylid stomatopods	WORMS:205612	Gonodactylus
	flying fish	GBIF:2336668	Chelidonichthys kumu
	Alpheus  sp.	GBIF:8086705	Alpheus
	Trichoptera larvae	NCBI:1129109	Trichoptera
	worm tentacles	IRMNG:1396214	Polychaeta
	Hake	OTT:97084	Urophycis cirrata
	Pila	IRMNG:1354041	Pila
FBC:FB:SPECCODE:2296	Copadichromis virginalis	NCBI:163618	Copadichromis virginalis
	Oronectes	WORMS:885055	Faxonius
	Phronima spp	GBIF:2216503	Phronima
	Shrimps	WD:Q80117	Caridea
	Small crustaceans	OTT:4809432	Small
	Cystoseira osmundacea	GBIF:8849937	Cystoseira osmundacea
	dipteran adult	NCBI:1187407	Diptera
	dipteran adult	NCBI:1187409	Diptera
	Leuconostoc	NCBI:1243	Leuconostoc
	Diptera 1	NCBI:1187397	Diptera
	Crangon sp.	WORMS:107007	Crangon
	Barnacle	WD:Q2336729	Balanus
	Periclemenes iridescens?	NCBI:654412	Periclimenes
	terrestrial dipterans	NCBI:1187342	Diptera
	Priacanthus cruentatus	GBIF:2375045	Heteropriacanthus cruentatus
	Synodus juvenile	IRMNG:1296921	Synodus
	Nereis	WORMS:326125	Nereis
	Lymnaea	NCBI:1561177	Lymnaea
	Roach	WD:Q1042461	Gerres oyena
	Synalpheus sp.	OTT:5539638	Synalpheus
	Thalassionema	GBIF:8486229	Thalassionema
	PANDALUS SPP	IRMNG:1349823	Pandalus
	Anabaena sp.	NCBI:481457	Anabaena
	Anemonia sulcata	WD:Q1192992	Anemonia viridis
	Mycale sp.	NCBI:1325614	Mycale
	Fish	WORMS:10194	Actinopterygii
	Unio	WORMS:857173	Unio
	Ophelina acuminata	NCBI:879542	Ophelina acuminata
	Phagocata subterranea	IRMNG:10892985	Phagocata gracilis
	Microcystis flos-aquae	OTT:435223	Microcystis flos-aquae
	Scenedesmus sp.	OTT:5917962	Scenedesmus
	Lepidoptera	OTT:4284037	Lepidoptera
	Lumbricus capitatus	NCBI:51294	Capitella capitata
	Small sharks	OTT:4809432	Small
	Harmothoe nodosa	NCBI:862926	Eunoe nodosa
	TINODES SPP	IRMNG:1303830	Tinodes
	Endochrionomus	OTT:4468597	Chironomidae
	Sparisoma	WORMS:126051	Sparisoma
	forest material	OTT:4915654	Organic
	Cricotopus I	OTT:5823935	Cricotopus
	Dipterans	NCBI:1187322	Diptera
	LEPIDOPTERA	NCBI:1464434	Lepidoptera
	Gobiosoma rubustum	WD:Q907109	Gobiosoma
	Clarias sp.	NCBI:13012	Clarias
	Phyllodoce groenlandica	IRMNG:10747768	Anaitides groenlandica
	Diptera 1	OTT:4513071	Diptera
	Culicoides sp.	WORMS:151024	Culicoides
	Dipteran (not Chironomidae) larvae	NCBI:1187331	Diptera
	Dipteran (not Chironomidae) larvae	NCBI:1187335	Diptera
	terrestrial Coleoptera	NCBI:1187202	Coleoptera
	Themisto gaudichaudii	GBIF:5177641	Themisto gaudichaudii
	dipteran pupa	NCBI:1187306	Diptera
	LEPIDORHOMBUS WHIFFIAGONIS	OTT:1057006	Lepidorhombus whiffiagonis
	Enhalus acoroides	IRMNG:11676899	Enhalus acoroides
	Diptera larvae	NCBI:1187317	Diptera
	cabs megalops	IRMNG:1402579	Brachyura
	Bythinella sp.	OTT:173709	Bythinella
	Barnacle	WORMS:106122	Balanus
	Macropipus megalopa	IRMNG:1286879	Macropipus
	Crenicichla sp.	NCBI:1077128	Crenicichla
	Macrobrachium ohione	OTT:736328	Macrobrachium
	Ocypode sp.	WORMS:450382	Ocypode
	Callinectes ornatus	GBIF:2225641	Callinectes
	Arenicola sp.	WORMS:129206	Arenicola
	Ophiothrix	WORMS:242555	Ophiothrix
	Mysis	NCBI:261863	Mysis
	Alpheus	GBIF:2222298	Alpheus
FBC:SLB:SPECCODE:40743	Praxillella praetermissa	OTT:784956	Praxillella praetermissa
	HYDROPSYCHE	ITIS:598727	Hydropsyche
	Synechococcus	NCBI:1129	Synechococcus
	Macrura larva	OTT:1012207	Pyramimonas
	adult Diptera	NCBI:1187343	Diptera
	adult Diptera	NCBI:1187368	Diptera
	Gloeocystis	GBIF:9024050	Gloeocystis
	Brachyurans	IRMNG:1402579	Brachyura
	Spatangus	GBIF:7235309	Spatangus
	caddis flies larvae	OTT:4229447	Trichoptera
FBC:SLB:SPECCODE:57073	Alloteuthis subulata	WD:Q13429093	Alloteuthis subulata
	Polypedilum spp.	NCBI:891954	Polypedilum
	Epimeria	NCBI:1903736	Epimeria
	Leptonema	OTT:5934434	Leptonema
	Microcystis aeruginosa	NCBI:1009696	Microcystis aeruginosa
	Microcystis aeruginosa	NCBI:1131892	Microcystis aeruginosa
	midges	OTT:4468576	Chironomidae
NODC:61880301	Cancridae (crab) Cancer sp.	WORMS:450294	Cancer
	lepidopterans	NCBI:1464440	Lepidoptera
	Mastacembelus sp.	OTT:457791	Mastacembelus
EOL:35798	Barnacle	GBIF:9019362	Balanus
	Orchestria sp.	GBIF:2218561	Orchestia
	dipteran nymphs	NCBI:1187343	Diptera
	dipteran nymphs	NCBI:1187350	Diptera
	Mullet	ITIS:170382	Liza dumerili
	Cichla	GBIF:2369467	Cichla
EOL:421	Diptera	NCBI:1187330	Diptera
	Hydropsyche sp.	NCBI:1876526	Hydropsyche
	Hydropsyche sp.	NCBI:1876530	Hydropsyche
	Donax	ITIS:564953	Donax
	aquatic trichopterans	GBIF:1003	Trichoptera
	diptera pupae	NCBI:1187317	Diptera
	Asebellides oculata	GBIF:9220823	Ampharete oculata
	Pipterous larva	NCBI:1187406	Diptera
	Lampetra planeri	NCBI:13103	Lampetra
	Temora spp.	GBIF:2114299	Temora
	HYDROPSYCHE	NCBI:1876523	Hydropsyche
	HYDROPSYCHE	NCBI:1876528	Hydropsyche
	Periclemenes americanus	NCBI:654410	Periclimenes
	Brachycera sp.	NCBI:1187352	Diptera
	anthozoans	WD:Q27685078	Anthozoa
	crab plankton	IRMNG:1402536	Brachyura
	Trichodesmium thiebautii	NCBI:306282	Trichodesmium thiebautii
	unidenified dipterans	NCBI:1187331	Diptera
	unidenified dipterans	NCBI:1187354	Diptera
	Characidae	NCBI:42495	Serrasalmidae
	Nereis sp.	WORMS:326123	Nereis
	Ophiacantha sp.	WORMS:123587	Ophiacantha
	Diptera adult	NCBI:1187354	Diptera
	Agabus	NCBI:207408	Agabus
	Lymnea atkaensis	IRMNG:1358180	Lymnaea
	Dipteran larvae	NCBI:1187344	Diptera
	Dipteran larvae	NCBI:1187358	Diptera
	Zoanthus spp.	NCBI:1209909	Zoanthus
	terrestrial flies	NCBI:1187366	Diptera
	terrestrial flies	NCBI:1187373	Diptera
	Barbus spp.	NCBI:40829	Barbus
	Stronglyocentrotus sp.	OTT:564714	Strongylocentrotus
	Metis ignea	GBIF:2112118	Metis ignea
	dogfish	ITIS:160065	Scyliorhinus canicula
	Microcystis viridis	NCBI:1620890	Microcystis viridis
	bluefish	ITIS:168558	Pomatomus
	Orthocladiinae	OTT:739029	Orthocladiinae
	Medaeus rouxi	WORMS:107432	Monodaeus rouxi
	Rhynchocinetes	GBIF:8557295	Rhynchocinetes
	Campylodiscus	GBIF:7927151	Campylodiscus
	hymenopterans	NCBI:1187575	Hymenoptera
	caddis flies tubes	OTT:4229448	Trichoptera
	Ethusa? sp.	WORMS:106882	Ethusa
	GLYCERA SPP	GBIF:5195425	Glycera
	Squilla neglecta	IRMNG:1321678	Squilla
EOL:8043	Picornavirus	NCBI:478845	Picornaviridae
	Nitella	NCBI:912687	Nitella
EOL:73077	Diadema	OTT:587478	Diadema
